,Name,val,label
0,IMG_20180623_153623.jpg,01995,01995
1,IMG_20180623_080137.jpg,00492,00995
2,IMG_20180623_133316.jpg,00339,07362
3,IMG_20180623_092447.jpg,011639,01639
4,IMG_20180623_151800.jpg,008113,00613
5,IMG_20180623_125429.jpg,06170,05719
6,IMG_20180623_102733.jpg,02345,02345
7,IMG_20180623_172411.jpg,06530,0000
8,IMG_20180623_065838.jpg,03814,03814
9,IMG_20180623_091749.jpg,00012,00012
10,IMG_20180623_153805.jpg,713393,13393
11,IMG_20180623_135228.jpg,11075,11075
12,IMG_20180623_075630.jpg,00731,00713
13,IMG_20180623_073241.jpg,0666562,01665
14,IMG_20180623_104220.jpg,00133,00133
15,IMG_20180623_073057.jpg,06070,06070
16,IMG_20180623_161527.jpg,00132,00132
17,IMG_20180623_125403.jpg,03767,03767
18,IMG_20180623_122620.jpg,0009,04490
19,IMG_20180623_083944.jpg,00000,00000
20,IMG_20180623_165754.jpg,01625,01625
21,IMG_20180623_124913.jpg,0117751,01751
22,IMG_20180623_094752.jpg,15575,15575
23,IMG_20180623_152729.jpg,00331,00331
24,IMG_20180623_092727.jpg,00268,00260
25,IMG_20180623_142927.jpg,01183,01183
26,IMG_20180623_165022.jpg,0062,00462
27,IMG_20180623_173126.jpg,00207,00207
28,IMG_20180623_142112.jpg,04782,04782
29,IMG_20180623_133933.jpg,065541,06554
30,IMG_20180623_120027.jpg,118903,18903
31,IMG_20180623_103832.jpg,02270,02348
32,IMG_20180623_064856.jpg,00582,00582
33,IMG_20180623_080722.jpg,006866,00666
34,IMG_20180623_111013.jpg,02018,02018
35,IMG_20180623_163240.jpg,02296,02296
36,IMG_20180623_095501.jpg,01072,01072
37,IMG_20180623_142259.jpg,00066689,00689
38,IMG_20180623_120153.jpg,04457,04451
40,IMG_20180623_140843.jpg,84139,04139
41,IMG_20180623_093416.jpg,00305,00605
42,IMG_20180623_091201.jpg,1044408,10400
43,IMG_20180623_164713.jpg,03073,03073
45,IMG_20180623_080536.jpg,01948,01948
46,IMG_20180623_071524.jpg,00233,00233
47,IMG_20180623_171524.jpg,00469,00469
48,IMG_20180623_132353.jpg,61009,04009
49,IMG_20180623_122828.jpg,08077,08077
50,IMG_20180623_141141.jpg,00165,06155
51,IMG_20180623_073905.jpg,00193,00193
52,IMG_20180623_110534.jpg,036771,03677
54,IMG_20180623_141522.jpg,06709,06709
55,IMG_20180623_063740.jpg,13135,13135
56,IMG_20180623_073023.jpg,02658,02658
57,IMG_20180623_092342.jpg,02809,02800
58,IMG_20180623_110427.jpg,017671,01767
59,IMG_20180623_120533.jpg,0256,02926
60,IMG_20180623_075254.jpg,01674,01674
61,IMG_20180623_111507.jpg,015250,01620
62,IMG_20180623_124740.jpg,008910,00911
63,IMG_20180623_105611.jpg,115252,15555
65,IMG_20180623_115819.jpg,00277,00291
67,IMG_20180623_141723.jpg,05353,05236
68,IMG_20180623_105820.jpg,6511,03600
69,IMG_20180623_100810.jpg,00063,00063
70,IMG_20180623_082813.jpg,00006,00006
71,IMG_20180623_094532.jpg,08966,08966
72,IMG_20180623_072935.jpg,09256,09256
73,IMG_20180623_122118.jpg,10674,10674
74,IMG_20180623_085402.jpg,01753,01753
76,IMG_20180623_124623.jpg,04288,04283
77,IMG_20180623_104901.jpg,00000,00000
78,IMG_20180623_144302.jpg,00641,00641
79,IMG_20180623_134829.jpg,01560,01560
80,IMG_20180623_082557.jpg,000141,00012
82,IMG_20180623_073227.jpg,05414,05414
83,IMG_20180623_111111.jpg,052,02076
84,IMG_20180623_080754.jpg,06479,06479
85,IMG_20180623_172924.jpg,02403,02403
86,IMG_20180623_131821.jpg,04456,02966
87,IMG_20180623_073346.jpg,00322,00352
88,IMG_20180623_120911.jpg,02439,02439
89,IMG_20180623_091300.jpg,01413,01413
90,IMG_20180623_141323.jpg,07177,07179
91,IMG_20180623_073805.jpg,,05511
92,IMG_20180623_134435.jpg,11490,11990
93,IMG_20180623_072312.jpg,10731,10761
94,IMG_20180623_153651.jpg,01015,01015
95,IMG_20180623_154102.jpg,00504,00504
96,IMG_20180623_122731.jpg,008113,00813
97,IMG_20180623_070329.jpg,09949,09949
98,IMG_20180623_123215.jpg,060714,06074
99,IMG_20180623_101922.jpg,031115,03113
100,IMG_20180623_072701.jpg,00276,00276
101,IMG_20180623_165255.jpg,04672,04672
102,IMG_20180623_071234.jpg,006,00164
103,IMG_20180623_075318.jpg,0063,00643
104,IMG_20180623_102153.jpg,0088888,00883
105,IMG_20180623_132906.jpg,00714,00714
106,IMG_20180623_162857.jpg,00000007,00004
108,IMG_20180623_104913.jpg,09507,09507
109,IMG_20180623_083642.jpg,02261,05261
110,IMG_20180623_111136.jpg,029,00272
111,IMG_20180623_072446.jpg,112793,12793
112,IMG_20180623_165112.jpg,10101114,N/A
113,IMG_20180623_075301.jpg,09177,09177
114,IMG_20180623_081323.jpg,011904,01904
115,IMG_20180623_101708.jpg,012236,01536
116,IMG_20180623_075328.jpg,1103,14802
117,IMG_20180623_084306.jpg,062540,06590
118,IMG_20180623_110942.jpg,03471,08471
119,IMG_20180623_103916.jpg,00471,00477
120,IMG_20180623_063947.jpg,04764,09464
121,IMG_20180623_151049.jpg,0111167,01167
122,IMG_20180623_104510.jpg,00827,00827
123,IMG_20180623_093644.jpg,01230,01230
124,IMG_20180623_121814.jpg,11651,11651
125,IMG_20180623_152636.jpg,10002,10557
126,IMG_20180623_090211.jpg,03053,03023
127,IMG_20180623_091324.jpg,00115,00115
128,IMG_20180623_164434.jpg,083060,06306
129,IMG_20180623_110558.jpg,011843,01843
131,IMG_20180623_093325.jpg,10849,10841
132,IMG_20180623_142024.jpg,13235,13235
133,IMG_20180623_133144.jpg,00062,00062
134,IMG_20180623_125524.jpg,01,05341
135,IMG_20180623_120312.jpg,04870,04870
136,IMG_20180623_111044.jpg,04431,04431
138,IMG_20180623_102212.jpg,000009,00369
139,IMG_20180623_090942.jpg,05272,05275
140,IMG_20180623_161950.jpg,05760,05760
141,IMG_20180623_070530.jpg,00201,00201
142,IMG_20180623_105811.jpg,04697,04697
143,IMG_20180623_080833.jpg,00594,00594
144,IMG_20180623_094113.jpg,0068,00386
145,IMG_20180623_142227.jpg,01111118,01118
146,IMG_20180623_091725.jpg,051111,06171
147,IMG_20180623_095741.jpg,06736,06736
148,IMG_20180623_143311.jpg,05549,05549
149,IMG_20180623_133621.jpg,14873,14875
150,IMG_20180623_140340.jpg,071115,01715
151,IMG_20180623_123142.jpg,01205,01205
152,IMG_20180623_162122.jpg,00182,00182
153,IMG_20180623_082613.jpg,00002,00002
154,IMG_20180623_124759.jpg,00048,00048
155,IMG_20180623_104846.jpg,011190,01190
156,IMG_20180623_110614.jpg,02623,02623
157,IMG_20180623_142634.jpg,002849,00269
158,IMG_20180623_095352.jpg,01736,01736
159,IMG_20180623_161402.jpg,00243,00243
160,IMG_20180623_133350.jpg,00417,00411
161,IMG_20180623_065102.jpg,01094,01094
162,IMG_20180623_140157.jpg,00012,00012
163,IMG_20180623_154644.jpg,0010,00118
164,IMG_20180623_091225.jpg,00046,00046
165,IMG_20180623_101839.jpg,7164,11414
166,IMG_20180623_110505.jpg,111668,11260
167,IMG_20180623_131246.jpg,0011113,00113
168,IMG_20180623_083557.jpg,0286,02986
169,IMG_20180623_101958.jpg,071278,01278
171,IMG_20180623_132410.jpg,001223,00123
